English,Polish
artie,art
harriet,harriet
generator,generator
federation,federacja
mulder,Mulder
arresting,areszt
techniques,techniki
feather,pióro
printed,wydrukowane
untie,rozwi¹zaæ
jupiter,Jupiter
hay,siano
stalking,myœlistwo
conrad,Konrad
phony,fa³szywe
brett,Bretta
whack,walniêcie
scored,zdoby³
continent,kontynent
articles,artyku³y
oxford,Oksford
organize,zorganizowaæ
sensors,czujniki
shanghai,Szanghaj
wh,Wh
sniper,snajper
noisy,ha³aœliwy
framed,oprawiony
horizon,horyzont
twilight,zmierzch
reflection,odbicie
masks,maski
godfather,ojciec chrzestny
merchant,kupiec
wages,wynagrodzenie
robe,szata
waist,talia
stinking,œmierdz¹cy
disappointment,rozczarowanie
venture,przedsiêwziêcie
voyage,rejs
curry,curry
ominous,z³owieszczy
sunlight,œwiat³o s³oneczne
oui,oui
overseas,za granic¹
casualties,ofiary wypadku
aaah,aaa
mattress,materac
grill,grill
marketing,marketingu
accepting,akceptowanie
occupation,zawód
deadline,termin ostateczny
freed,uwolniony
exhibit,wystawa
poems,wiersze
echoing,odbijaj¹ce siê echem
shin,goleñ
compliments,gratulacje
til,do
define,okreœliæ
urine,mocz
foreman,majster
facial,twarzowy
p.a.,rocznie.
combined,³¹czny
brody,Brody
probation,sta¿
reject,odrzuciæ
catches,³apie
dances,tañce
gemma,p¹czek
pinch,szczypta
ingredients,sk³adniki
ra,ra
hurricane,huragan
chatting,czatowaæ
mini,mini
heel,obcas
adding,dodawanie
bandit,bandyta
destined,przeznaczony
limo,limuzyna
spa,spa
graves,groby
turkish,turecki
listed,katalogowany
corpses,zw³oki
matty,Matty
evacuate,ewakuujê
publish,publikowaæ
judith,Judyta
banned,zakazany
snaps,zatrzaski
cheeks,policzki
predict,przewidywaæ
ohio,Ohio
holland,Holandia
confront,konfrontowaæ
utterly,ca³kowicie
pals,kumple
pilots,piloci
umm,hmm
jonah,Jonasz
ironic,ironiczny
improved,ulepszony
popping,strzelanie
mills,m³yny
farther,dalej
delivering,dostarczanie
skipper,szyper
flattered,pochlebia³o
coconut,orzech kokosowy
acknowledge,uznawaæ
shuts,zamyka siê
sweden,Szwecja
hooray,hura
sip,³yk
blessings,b³ogos³awieñstwa
grocery,sklep spo¿ywczy
terminal,terminal
parks,parki
meaningless,bez znaczenia
awards,nagrody
fade,znikaæ
hiring,wynajmowanie
burton,Burtona
fees,op³aty
wretched,nêdzny
krishna,Kryszna
thoroughly,dok³adnie
exhibition,wystawa
spends,spêdza
denver,Denver
80s,lata 80-te
winners,zwyciêzcy
doris,Doris
luther,Luter
disappearance,zanik
madrid,Madryt
supported,utrzymany
advised,rozmyœlny
regina,królowa
supermarket,supermarket
hereby,niniejszym
pier,molo
shorter,krótszy
betrayal,zdrada
philadelphia,Filadelfia
christians,chrzeœcijanie
psychology,psychologia
danielle,Danielle
trent,trenowaæ
keeper,opiekun
detroit,Detroit
canadian,kanadyjski
su,su
associates,wspó³pracownicy
gerry,Gerry
restless,niespokojny
collector,kolektor
marvellous,cudowny
physician,lekarz
exposure,nara¿enie
grudge,uraza
lid,pokrywa
followers,œwita
glow,blask
submarine,podwodny
towns,miasta
pawn,pionek
edith,Edyta
includes,zawiera
lu,lu
proposition,propozycja
joker,¿artowniœ
spilled,rozlany
opposition,sprzeciw
jang,jango
haley,Haley
hose,w¹¿ gumowy
partnership,wspó³praca
usa,USA
timmy,Tymek
breathes,oddycha
whoops,ups
astronaut,astronauta
porch,ganek
leonardo,Leonardo
responding,odpowiadanie
wishing,pragn¹c
boil,gotowaæ
kneel,klêczeæ
tammy,Tammy
clumsy,niezdarny
rapid,szybki
xiao,xiao
stevens,Stevens
invested,zainwestowany
janice,Janice
roller,wa³ek
thai,tajski
justify,uzasadniaæ
garlic,czosnek
yelled,krzykn¹³
simone,Simone
ammunition,amunicja
sushi,sushi
shaft,wa³
definition,definicja
gardens,ogród botaniczny
chandler,kupiec
ne,nie
notify,notyfikowaæ
brady,Brady
beasts,bestie
setup,organizowaæ coœ
greed,chciwoœæ
dared,odwa¿y³ siê
unlucky,pechowy
classroom,klasa
treaty,traktat
hike,wycieczka
dagger,sztylet
spine,krêgos³up
detect,wykryæ
chow,jeœæ
des,des
teenagers,nastolatki
handwriting,pismo
mock,kpina
challenging,wyzywaj¹cy
salon,salon
virtue,cnota
lawsuit,proces s¹dowy
shelly,skorupa
clap,klaskaæ
mustache,w¹sy
offence,wykroczenie
med,med
sultan,su³tan
attraction,atrakcja
franco,francuski
courts,s¹dy
fortress,twierdza
café,kawiarnia
peel,obieraæ
petrol,benzyna
disappears,znika
asset,zaleta
warp,osnowa
workshop,warsztat
traps,majdan
jeannie,Jeannie
appreciated,doceniany
condemned,skazany
garrett,Garrett
muttering,mamrocz¹cy
shook,potrz¹sn¹³
naval,morski
egyptian,Egipcjanin
expand,zwiêkszaæ
sunrise,wschód s³oñca
swine,wieprz
jingle,brzêk
lordship,panowanie
peach,brzoskwinia
filmed,sfilmowany
pakistan,Pakistan
oughta,powinienem
selection,wybór
squeaking,skrzypienie
condom,prezerwatywa
sadie,Sadie
barbie,lalka Barbie
alongside,wzd³u¿
risking,ryzykuj¹c
democratic,demokratyczny
nerd,kujon
dancers,tancerze
crook,oszust
mack,Mack
grasp,chwyt
translate,t³umaczyæ
behaving,zachowanie
humiliating,poni¿aj¹cy
quarrel,k³óciæ siê
lively,pe³en ¿ycia
fury,furia
policemen,policjanci
sensei,sensi
elders,starsi
battlefield,pole bitwy
sticky,lepki
glen,dolina górska
liu,Liu
primitive,prymitywny
reign,królowaæ
eugene,Eugeniusz
stash,chowaæ na potem
evolved,ewoluowa³
shifts,zmiany
unlock,odblokowaæ
devices,urz¹dzenia
peculiar,osobliwy
talents,talenty
anita,Anita
foreigners,obcokrajowcy
snacks,przek¹ski
mint,mennica
pissing,sikanie
fuse,bezpiecznik
manuel,Manuel
towers,wie¿e
freezer,zamra¿arka
inheritance,dziedzictwo
villages,wsie
beckett,Becketta
jewel,klejnot
bollocks,bzdury
shells,muszle
swept,zmieciony
recognition,uznanie
shovel,³opata
artistic,artystyczny
qualities,cechy
ferry,prom
darren,Darren
misunderstood,niezrozumiany
portal,portal
atomic,atomowy
javier,Javier
ava,awa
claiming,twierdz¹c
examined,badany
defensive,obronny
